name1	name2	single_tel_length_norm
BLS	BLS	0.3457328918
BKD	BKD	0.4789356571
BNP	BNP	1.9124511316
BKN	BKN	0.7212378302
BNQ	BNQ	0.4167743666
CBH	CBH	0.1452944449
BKH	BKH	0.2264847019
BPM	BPM	0.0247776572
BKP	BKP	-9
CRA	CRA	-9
CRB	CRB	0.0412694282
CHC	CHC	-0.060218393
CGS	CGS	2.5568987962
CHB	CHB	0.1681292047
CHD	CHD	1.4367269697
CGV	CGV	0.7795933274
CHA	CHA	0.3634932605
CHE	CHE	0.7161634392
AHI	AHI	-9
BKM	BKM	0.6425847688
BIF	BIF	-0.6564593426
BKG	BKG	2.6583866174
BKF	BKF	2.8283787179
BLL	BLL	0.1097737075
ARL	ARL	-9
CKI	CKI	-1.0941255715
CKL	CKL	-1.2247911413
CKH	CKH	-1.2729978564
CKD	CKD	-1.1740472307
CKE	CKE	-0.3799050298
CIS	CIS	-0.4243059516
BMN	BMN	-0.610789823
CIT	CIT	-0.46490108
CKP	CKP	-1.1194975268
CKQ	CKQ	-0.6678767225
CKB	CKB	-0.8137654654
CKC	CKC	-0.610789823
CIQ	CIQ	-9
CIM	CIM	-9
CIN	CIN	-1.0129353145
CIR	CIR	-0.2695370242
CKF	CKF	-0.8239142475
CKG	CKG	-1.0129353145
CKM	CKM	-0.9571170129
CIP	CIP	-9
BCA	BCA	-0.0843217505
AMT	AMT	-0.7325752085
CIV	CIV	-0.7097404487
CKT	CKT	-0.5917608566
BIL	BIL	1.9834926064
ABS	ABS	-9
BIP	BIP	-9
BIQ	BIQ	-9
BNI	BNI	-0.546091337
BLV	BLV	-0.2720742198
BQG	BQG	0.2391706795
CRD	CRD	-0.4154257672
CRI	CRI	-9
BVM	BVM	-0.6386989739
CQV	CQV	0.0463438193
CRK	CRK	-0.859434985
BLF	BLF	-0.7338438062
CEA	CEA	-9
CEB	CEB	-9
BNT	BNT	0.4193115622
BLD	BLD	-0.3202809348
BKR	BKR	1.1297263106
CEC	CEC	-0.4293803426
BNH	BNH	-0.627281594
BLC	BLC	-0.4940788286
CEE	CEE	-0.6171328119
BNN	BNN	0.1681292047
CED	CED	-0.5524343258
BKS	BKS	0.6945972772
BLP	BLP	0.2455136684
BLN	BLN	0.0831331544
CDV	CDV	-0.1604376164
CEF	CEF	-0.6653395269
ANQ	ANQ	-0.1858095717
AVK	AVK	-0.5346739571
BIK	BIK	0.9470482324
CLH	CLH	-9
AHN	AHN	-9
BSG	BSG	-0.1553632254
SACE_YCA	SACE_YCA	-9
ACT	ACT	-9
ACV	ACV	-9
AKP	AKP	-0.8936871246
AKV	AKV	-0.8759267559
ALE	ALE	-1.0763652028
BQP	BQP	0.1617862159
BRB	BRB	0.2772286125
BIT	BIT	1.3301647575
AQB	AQB	0.3482700873
BRH	BRH	-0.5232565772
ABP	ABP	-9
BIR	BIR	0.5005018191
CPF	CPF	-9
BNG	BNG	-9
AIM	AIM	-0.5219879795
CFB	CFB	-9
CHF	CHF	-0.4331861359
BHB	BHB	-0.79981089
AAK	AAK	-9
AHP	AHP	0.0108230818
AET	AET	-9
AEK	AEK	-9
AQE	AQE	0.026046255
AQP	AQP	-9
ASA	ASA	-9
BPL	BPL	-0.3063263594
AIP	AIP	-9
CAN	CAN	-9
CAB	CAB	-0.4953474264
CAP	CAP	2.6254030755
AQC	AQC	-0.7490669794
AHK	AHK	-9
AES	AES	-9
AFI	AFI	-9
BPR	BPR	-9
AIA	AIA	-9
BVT	BVT	0.5829606739
CAA	CAA	-0.0805159572
CAC	CAC	-0.0564125997
BVV	BVV	0.1008935231
CAD	CAD	0.4155057689
CAM	CAM	0.1186538919
CAQ	CAQ	0.0653727857
CBB	CBB	3.0199369805
CBE	CBE	0.1909639645
AAE	AAE	-9
AIB	AIB	-9
CAS	CAS	0.52841097
CAR	CAR	0.4878158415
CAT	CAT	0.3990139979
CBC	CBC	1.0472674559
CAV	CAV	-9
CBD	CBD	0.3495386851
AFV	AFV	-9
ART	ART	-0.1515574321
AIC	AIC	-9
SACE_YAF	SACE_YAF	-9
BSR	BSR	-1.6890979233
BSS	BSS	2.1306499472
BTR	BTR	-1.4975396608
BTP	BTP	1.0701022156
ASR	ASR	-0.7896621079
SACE_YDJ	SACE_YDJ	-9
AVB	AVB	-9
CDT	CDT	1.4697105116
CPG	CPG	-1.3694112865
ABM	ABM	-9
AHM	AHM	-9
AQA	AQA	0.9432424391
AQD	AQD	-9
ATQ	ATQ	-9
CGD	CGD	2.0012529751
CGE	CGE	1.7919343439
AHL	AHL	-9
BRK	BRK	1.1766644279
SACE_YBR	SACE_YBR	-9
AID	AID	1.0244326961
AIE	AIE	-9
SACE_YAE	SACE_YAE	-9
SACE_YDM	SACE_YDM	-9
AGN	AGN	-9
AST	AST	-0.2771486108
BHE	BHE	-9
BHD	BHD	-0.5765376834
BHM	BHM	-0.4116199739
BHT	BHT	-0.7275008174
ASV	ASV	-9
AHF	AHF	-9
AMP	AMP	-0.270805622
CPB	CPB	-9
ACS	ACS	-9
SACE_YCI	SACE_YCI	-9
BHL	BHL	-0.2264047002
BHK	BHK	-0.670413918
ACG	ACG	-9
ACH	ACH	-9
CHV	CHV	-9
AFR	AFR	-9
BVC	BVC	0.9965235453
AEG	AEG	-9
AGM	AGM	-9
CNQ	CNQ	-0.8683151693
AEH	AEH	-9
AFD	AFD	-9
AHC	AHC	-9
BTT	BTT	0.7339238079
APH	APH	0.4827414504
BTV	BTV	2.2866874723
BVA	BVA	4.5308369186
CMT	CMT	-0.4902730353
CNG	CNG	-0.7021288621
CNK	CNK	0.366030456
APG	APG	-9
CNM	CNM	-0.675488309
CNP	CNP	-0.6171328119
CNR	CNR	-0.9393566442
BVB	BVB	2.0114017573
CNI	CNI	0.2429764728
CNH	CNH	1.2185281541
BVH	BVH	0.8125768693
CNN	CNN	-0.9507740241
