Strain	Single_tel_length	Clade	Gene	CN
BMI	619.125	01.Wine_European	ATP8	5.5
BMK	275	01.Wine_European	ATP8	1.5
BMH	750	01.Wine_European	ATP8	2.5
CDS	193.375	01.Wine_European	ATP8	6.5
BIM	269.125	01.Wine_European	ATP8	2
BIN	271.25	01.Wine_European	ATP8	1
BKA	266.875	01.Wine_European	ATP8	1.5
BQQ	209.375	01.Wine_European	ATP8	1.5
ADS	177	01.Wine_European	ATP8	13.5
BNM	328.25	01.Wine_European	ATP8	2
BIH	220.125	01.Wine_European	ATP8	3
BKC	384.375	01.Wine_European	ATP8	2
BLS	287.25	01.Wine_European	ATP8	1
BKD	300.375	01.Wine_European	ATP8	2.5
BNP	441.625	01.Wine_European	ATP8	1
BKN	324.25	01.Wine_European	ATP8	1.5
BNQ	294.25	01.Wine_European	ATP8	2.5
CBH	267.5	01.Wine_European	ATP8	21.5
BKH	275.5	01.Wine_European	ATP8	1.5
BPM	255.625	01.Wine_European	ATP8	1.5
CRB	257.25	01.Wine_European	ATP8	28
CHC	247.25	01.Wine_European	ATP8	5
CGS	505.125	01.Wine_European	ATP8	3
CHB	269.75	01.Wine_European	ATP8	11
CHD	394.75	01.Wine_European	ATP8	7
CGV	330	01.Wine_European	ATP8	6.5
CHA	289	01.Wine_European	ATP8	5
CHE	323.75	01.Wine_European	ATP8	6
BKM	316.5	01.Wine_European	ATP8	1
BIF	188.5	01.Wine_European	ATP8	11.5
BKG	515.125	01.Wine_European	ATP8	1
BKF	531.875	01.Wine_European	ATP8	1.5
BLL	264	01.Wine_European	ATP8	2
CKI	145.375	01.Wine_European	ATP8	9
CKL	132.5	01.Wine_European	ATP8	6.5
CKH	127.75	01.Wine_European	ATP8	9
CKD	137.5	01.Wine_European	ATP8	9
CKE	215.75	01.Wine_European	ATP8	4
CIS	211.375	01.Wine_European	ATP8	3
BMN	193	01.Wine_European	ATP8	1
CIT	207.375	01.Wine_European	ATP8	3.5
CKP	142.875	01.Wine_European	ATP8	8.5
CKQ	187.375	01.Wine_European	ATP8	4.5
CKB	173	01.Wine_European	ATP8	4.5
CKC	193	01.Wine_European	ATP8	4
CIN	153.375	01.Wine_European	ATP8	3.5
CIR	226.625	01.Wine_European	ATP8	2.5
CKF	172	01.Wine_European	ATP8	7
CKG	153.375	01.Wine_European	ATP8	6
CKM	158.875	01.Wine_European	ATP8	5.5
BCA	244.875	01.Wine_European	ATP8	20.5
AMT	181	01.Wine_European	ATP8	11
CIV	183.25	01.Wine_European	ATP8	5.5
CKT	194.875	01.Wine_European	ATP8	2.5
BIL	448.625	01.Wine_European	ATP8	1
BNI	199.375	01.Wine_European	ATP8	2.5
BLV	226.375	01.Wine_European	ATP8	1
BQG	276.75	01.Wine_European	ATP8	5.5
CRD	212.25	01.Wine_European	ATP8	10
BVM	190.25	01.Wine_European	ATP8	7
CQV	257.75	01.Wine_European	ATP8	7.5
CRK	168.5	01.Wine_European	ATP8	13
BLF	180.875	01.Wine_European	ATP8	2
BNT	294.5	01.Wine_European	ATP8	8
BLD	221.625	01.Wine_European	ATP8	2
BKR	364.5	01.Wine_European	ATP8	1
CEC	210.875	01.Wine_European	ATP8	8.5
BNH	191.375	01.Wine_European	ATP8	1.5
BLC	204.5	01.Wine_European	ATP8	4
CEE	192.375	01.Wine_European	ATP8	6
BNN	269.75	01.Wine_European	ATP8	1
CED	198.75	01.Wine_European	ATP8	10
BKS	321.625	01.Wine_European	ATP8	2
BLP	277.375	01.Wine_European	ATP8	1.5
BLN	261.375	01.Wine_European	ATP8	1.5
CDV	237.375	01.Wine_European	ATP8	7.5
CEF	187.625	01.Wine_European	ATP8	6.5
ANQ	234.875	01.Wine_European	ATP8	8
AVK	200.5	01.Wine_European	ATP8	11
BIK	346.5	01.Wine_European	ATP8	1
BSG	237.875	01.Wine_European	ATP8	10
AKP	165.125	01.Wine_European	ATP8	11.5
AKV	166.875	01.Wine_European	ATP8	13
ALE	147.125	01.Wine_European	ATP8	12.5
BQP	269.125	01.Wine_European	ATP8	8.5
BRB	280.5	01.Wine_European	ATP8	6
BIT	384.25	01.Wine_European	ATP8	3
AQB	287.5	01.Wine_European	ATP8	0.5
BRH	201.625	01.Wine_European	ATP8	2
BIR	302.5	01.Wine_European	ATP8	2
AIM	201.75	01.Wine_European	ATP8	10.5
CHF	210.5	01.Wine_European	ATP8	8
BHB	174.375	01.Wine_European	ATP8	21
AHP	254.25	01.Wine_European	ATP8	18.5
AQE	255.75	01.Wine_European	ATP8	17.5
BPL	223	01.Wine_European	ATP8	1.5
CAB	204.375	01.Wine_European	ATP8	5
CAP	511.875	01.Wine_European	ATP8	7
AQC	179.375	01.Wine_European	ATP8	13
BVT	310.625	01.Wine_European	ATP8	8
CAA	245.25	01.Wine_European	ATP8	11
CAC	247.625	01.Wine_European	ATP8	6.5
BVV	263.125	01.Wine_European	ATP8	16.5
CAD	294.125	01.Wine_European	ATP8	11.5
CAM	264.875	01.Wine_European	ATP8	8
CAQ	259.625	01.Wine_European	ATP8	10.5
CBB	550.75	01.Wine_European	ATP8	8
CBE	272	01.Wine_European	ATP8	15
CAS	305.25	01.Wine_European	ATP8	65.5
