Strain,Single_tel_length,Clade,Gene,CN
BBA,228.25,01.Wine_European,YFR054C,1
BMI,619.125,01.Wine_European,YFR054C,1
BMK,275,01.Wine_European,YFR054C,1
BMH,750,01.Wine_European,YFR054C,1
CDS,193.375,01.Wine_European,YFR054C,1
BIM,269.125,01.Wine_European,YFR054C,1
BIN,271.25,01.Wine_European,YFR054C,1
BKA,266.875,01.Wine_European,YFR054C,1
BQQ,209.375,01.Wine_European,YFR054C,1
ADS,177,01.Wine_European,YFR054C,1
BNM,328.25,01.Wine_European,YFR054C,1
BIH,220.125,01.Wine_European,YFR054C,1
BKC,384.375,01.Wine_European,YFR054C,>1
BLS,287.25,01.Wine_European,YFR054C,1
BKD,300.375,01.Wine_European,YFR054C,1
BNP,441.625,01.Wine_European,YFR054C,>1
BKN,324.25,01.Wine_European,YFR054C,1
BNQ,294.25,01.Wine_European,YFR054C,>1
CBH,267.5,01.Wine_European,YFR054C,1
BKH,275.5,01.Wine_European,YFR054C,1
BPM,255.625,01.Wine_European,YFR054C,1
CRB,257.25,01.Wine_European,YFR054C,1
CHC,247.25,01.Wine_European,YFR054C,1
CGS,505.125,01.Wine_European,YFR054C,1
CHB,269.75,01.Wine_European,YFR054C,1
CHD,394.75,01.Wine_European,YFR054C,1
CGV,330,01.Wine_European,YFR054C,1
CHA,289,01.Wine_European,YFR054C,1
CHE,323.75,01.Wine_European,YFR054C,1
BKM,316.5,01.Wine_European,YFR054C,1
BIF,188.5,01.Wine_European,YFR054C,1
BKG,515.125,01.Wine_European,YFR054C,>1
BKF,531.875,01.Wine_European,YFR054C,>1
BLL,264,01.Wine_European,YFR054C,1
CKI,145.375,01.Wine_European,YFR054C,1
CKL,132.5,01.Wine_European,YFR054C,1
CKH,127.75,01.Wine_European,YFR054C,1
CKD,137.5,01.Wine_European,YFR054C,1
CKE,215.75,01.Wine_European,YFR054C,1
CIS,211.375,01.Wine_European,YFR054C,1
BMN,193,01.Wine_European,YFR054C,1
CIT,207.375,01.Wine_European,YFR054C,1
CKP,142.875,01.Wine_European,YFR054C,1
CKQ,187.375,01.Wine_European,YFR054C,1
CKB,173,01.Wine_European,YFR054C,1
CKC,193,01.Wine_European,YFR054C,1
CIN,153.375,01.Wine_European,YFR054C,1
CIR,226.625,01.Wine_European,YFR054C,1
CKF,172,01.Wine_European,YFR054C,1
CKG,153.375,01.Wine_European,YFR054C,1
CKM,158.875,01.Wine_European,YFR054C,1
BCA,244.875,01.Wine_European,YFR054C,>1
AMT,181,01.Wine_European,YFR054C,1
